,Theme,URL,IMG,Lines
14,GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20240513_monday_quote.jpg,An early morning walk is a blessing for the whole day. 
15,INCLUSION,/inspirational-quotes/8427-we-should-indeed-keep-calm-in-the-face-of,https://assets.passiton.com/quotes/quote_artwork/8427/medium/20240510_friday_quote.jpg,"We should indeed keep calm in the face of difference, and live our lives in a state of inclusion and wonder at the diversity of humanity. "
16,INCLUSION,/inspirational-quotes/7966-we-all-came-in-on-different-ships-but-were-all,https://assets.passiton.com/quotes/quote_artwork/7966/medium/20240509_thursday_quote.jpg,"We all came in on different ships, but we're all in the same boat now. "
17,INCLUSION,/inspirational-quotes/8383-strength-lies-in-differences-not-in-similarities,https://assets.passiton.com/quotes/quote_artwork/8383/medium/20240508_wednesday_quote.jpg,"Strength lies in differences, not in similarities. "
18,INCLUSION,/inspirational-quotes/8382-i-believe-that-we-are-here-for-each-other-not,https://assets.passiton.com/quotes/quote_artwork/8382/medium/20240507_tuesday_quote.jpg,"I believe that we are here for each other, not against each other. "
19,INCLUSION,/inspirational-quotes/8384-every-individual-matters-every-individual-has,https://assets.passiton.com/quotes/quote_artwork/8384/medium/20240506_monday_quote.jpg,Every individual matters. Every individual has a role to play. Every individual makes a difference. 
20,LISTENING,/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act,https://assets.passiton.com/quotes/quote_artwork/8083/medium/20240503_friday_quote.jpg,Listen with curiosity. Speak with honesty. Act with integrity. 
21,LISTENING,/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20240502_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen. 
22,LISTENING,/inspirational-quotes/7883-deep-listening-is-the-kind-of-listening-that,https://assets.passiton.com/quotes/quote_artwork/7883/medium/20240501_wednesday_quote.jpg,Deep listening is the kind of listening that can help relieve the suffering of another person. 
23,LISTENING,/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/quote_artwork/8426/medium/20240430_tuesday_quote.jpg,I’m a very strong believer in listening and learning from others. 
24,LISTENING,/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20240429_monday_quote.jpg,Listening is where love begins: listening to ourselves and then to our neighbors. 
25,COURTESY,/inspirational-quotes/5364-all-doors-open-to-courtesy,https://assets.passiton.com/quotes/quote_artwork/5364/medium/20240426_friday_quote.jpg,"All doors open to courtesy.
 "
26,COURTESY,/inspirational-quotes/8116-real-strength-entails-being-considerate-and,https://assets.passiton.com/quotes/quote_artwork/8116/medium/20240425_thursday_quote.jpg,Real strength entails being considerate and supportive of people's feelings. 
27,COURTESY,/inspirational-quotes/8119-life-is-short-but-there-is-always-time-enough,https://assets.passiton.com/quotes/quote_artwork/8119/medium/20240424_wednesday_quote.jpg,Life is short but there is always time enough for courtesy. 
28,COURTESY,/inspirational-quotes/3840-the-small-courtesies-sweeten-life-the-greater,https://assets.passiton.com/quotes/quote_artwork/3840/medium/20240423_tuesday_quote.jpg,"The small courtesies sweeten life; the greater, ennoble it. "
29,COURTESY,/inspirational-quotes/8117-take-care-be-kind-be-considerate-of-other,https://assets.passiton.com/quotes/quote_artwork/8117/medium/20240422_monday_quote.jpg,"Take care, be kind, be considerate of other people and other species, and be loving. "
30,HELPING OTHERS,/inspirational-quotes/6985-be-a-lamp-or-a-lifeboat-or-a-ladder-help,https://assets.passiton.com/quotes/quote_artwork/6985/medium/20240419_friday_quote.jpg,"Be a lamp, or a lifeboat, or a ladder. Help someone’s soul heal. "
31,HELPING OTHERS,/inspirational-quotes/8425-the-fastest-route-to-greater-happiness-is,https://assets.passiton.com/quotes/quote_artwork/8425/medium/20240418_thursday_quote.jpg,The fastest route to greater happiness is giving and volunteering. 
32,HELPING OTHERS,/inspirational-quotes/4470-an-essential-part-of-a-happy-healthy-life-is,https://assets.passiton.com/quotes/quote_artwork/4470/medium/20240417_wednesday_quote.jpg,"An essential part of a happy, healthy life is being of service to others.  "
